@relation 2017-05-07

@attribute 'RSI EXTREME SCALED' numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute bbSizeBand numeric
@attribute bbPricePosition numeric
@attribute Prediction {up,down,no}

@data
1,0,0.00006,0.002876,158.54041,down
1,0,0.000094,0.003788,113.873942,down
1,0,0.000132,0.004271,83.685032,down
1,0,0.000169,0.004516,62.504846,down
1,0,0.000205,0.004765,61.718308,down
0,0,0.000235,0.004792,41.384799,down
0,0,0.000255,0.004681,15.06004,down
0,0,0.000267,0.004529,7.860396,down
0,-2,0.000272,0.004351,4.803821,down
0,0,0.000273,0.004161,5.744442,down
0,0,0.00027,0.003987,3.562017,up
0,-2,0.000264,0.003857,-1.244495,down
0,0,0.000255,0.003725,-8.187007,down
0,0,0.000243,0.003628,-17.528977,up
0,0,0.000231,0.003499,-8.28711,up
0,0,0.000219,0.003348,-6.362656,down
0,0,0.000207,0.003205,-14.9768,up
-1,0,0.000193,0.003067,-32.21584,up
0,0,0.000178,0.002923,-32.051625,up
0,0,0.000165,0.002705,-18.338451,up
0,0,0.000154,0.002407,-15.828191,up
0,0,0.000145,0.002007,-4.683621,up
0,0,0.000135,0.001682,-22.121509,up
0,0,0.000127,0.001435,-2.090136,up
0,0,0.00012,0.000914,30.427977,down
0,0,0.000114,0.00057,50.859585,down
0,0,0.00011,0.000618,73.81289,down
0,0,0.000107,0.000633,38.099791,up
0,0,0.000104,0.00066,51.347799,down
0,0,0.0001,0.000665,23.150044,up
0,0,0.000097,0.000673,27.952493,up
0,0,0.000093,0.000672,3.717626,up
0,0,0.000089,0.000692,51.321763,down
0,0,0.000087,0.000633,31.126314,up
0,0,0.000083,0.000632,19.476788,down
0,0,0.000081,0.000641,30.102328,down
0,0,0.000078,0.000633,15.335729,down
0,0,0.000075,0.0005,19.213454,down
0,0,0.000072,0.000353,27.749127,up
0,0,0.000069,0.000345,-13.635007,up
0,0,0.000066,0.000331,1.207969,up
0,0,0.000062,0.000332,-16.242897,up
0,0,0.000059,0.000233,-6.441938,up
0,0,0.000059,0.000443,153.49848,down
0,2,0.000061,0.000621,122.286734,down
0,0,0.000065,0.000721,89.052932,down
0,0,0.000069,0.000801,76.501457,down
0,0,0.000073,0.000849,60.894421,down
0,1,0.000077,0.000883,48.707431,up
0,0,0.00008,0.000893,41.979603,up
0,0,0.000082,0.000902,40.009518,up
0,0,0.000084,0.000886,42.433761,up
0,0,0.000086,0.000897,32.558195,up
0,0,0.000087,0.000923,53.081652,up
0,0,0.000089,0.000925,46.029852,up
1,0,0.000093,0.001054,90.692536,down
0,0,0.000097,0.001078,60.6825,down
0,0,0.000101,0.001073,48.267562,down
0,0,0.000105,0.001102,64.526635,down
0,0,0.000107,0.001013,14.115456,down
0,0,0.000107,0.000915,-1.747929,down
0,0,0.000102,0.000958,-103.187868,down
0,0,0.000094,0.000934,-74.307518,down
0,0,0.000081,0.001269,-118.078192,up
0,2,0.000064,0.001516,-95.909894,up
0,2,0.000048,0.001606,-58.334295,down
0,2,0.000031,0.001712,-61.401451,down
0,0,0.000015,0.001803,-55.866314,down
0,0,0.000001,0.001843,-37.937236,down
0,0,-0.000012,0.001882,-37.676972,down
0,0,-0.000025,0.001983,-57.140886,down
0,0,-0.000038,0.002081,-57.048068,down
0,0,-0.000053,0.002236,-67.224145,down
0,0,-0.000071,0.002448,-78.404165,up
-1,0,-0.000089,0.002587,-67.180026,up
0,0,-0.000106,0.002492,-46.866075,down
0,0,-0.00012,0.002383,-40.040319,down
0,0,-0.000132,0.002255,-42.431541,down
0,0,-0.000143,0.00199,-43.420923,down
0,0,-0.000153,0.001828,-52.78887,down
0,0,-0.000162,0.001589,-39.211725,down
0,0,-0.000168,0.001554,-39.059254,down
0,0,-0.000174,0.001447,-48.77644,down
0,0,-0.000179,0.001479,-46.440988,down
0,0,-0.000184,0.001527,-52.454224,down
-1,0,-0.000191,0.001584,-77.317945,down
-1,0,-0.000201,0.001849,-102.599483,down
-1,0,-0.000213,0.002006,-85.335338,down
-1,0,-0.000228,0.002171,-94.31831,down
-1,0,-0.000245,0.002359,-95.26988,up
0,0,-0.000262,0.002466,-72.437673,up
-1,0,-0.000278,0.002535,-65.135079,up
-2,0,-0.000293,0.002656,-64.97486,up
0,0,-0.000306,0.00274,-48.316181,up
0,0,-0.000313,0.002734,-25.16107,down
0,0,-0.000317,0.00268,-30.560832,up
0,0,-0.000318,0.002576,-25.191076,up
0,0,-0.000316,0.002461,-19.100129,down
0,0,-0.000313,0.002329,-18.505152,down
0,0,-0.000307,0.002212,-13.835288,down
0,0,-0.000299,0.00201,-5.722017,down
0,0,-0.000291,0.001776,-7.937374,up
0,0,-0.000282,0.001545,-12.294259,down
0,0,-0.000273,0.001249,-6.567412,down
0,0,-0.000264,0.000907,5.956859,down
0,0,-0.000254,0.000695,28.490683,down
0,0,-0.000243,0.000687,26.491826,down
0,0,-0.000234,0.000666,-11.706184,up
0,0,-0.000224,0.000657,4.56766,up
0,0,-0.000215,0.000556,3.057887,up
0,0,-0.000206,0.00052,7.109881,up
0,0,-0.000196,0.000472,3.39085,up
0,0,-0.000186,0.000372,97.932297,up
0,0,-0.000174,0.000368,99.168399,up
0,0,-0.000161,0.000423,92.627144,up
0,0,-0.000147,0.000569,117.997688,up
0,0,-0.000132,0.000667,92.065769,up
0,2,-0.000117,0.000736,73.819926,up
0,2,-0.000102,0.000819,78.404995,up
0,2,-0.000088,0.000873,62.536966,down
0,0,-0.000074,0.000928,59.594505,down
0,0,-0.000061,0.001017,74.816,down
0,0,-0.000047,0.001076,68.796293,down
1,0,-0.000033,0.001113,61.078118,down
0,0,-0.000024,0.001082,-3.882113,up
0,-2,-0.000016,0.00106,6.979036,down
0,-2,-0.000009,0.001075,48.759483,down
0,-2,-0.000002,0.000995,27.124037,down
0,-2,0.000004,0.000921,22.046748,down
0,-2,0.000007,0.000831,-22.271887,down
0,-2,0.000009,0.000736,-28.683766,down
0,-2,0.000009,0.000634,-52.389135,down
0,0,0.000008,0.000627,-50.070448,down
0,0,0.000006,0.000671,-77.893408,down
0,0,0.000001,0.000751,-85.614032,up
0,0,-0.000003,0.000805,-63.586541,up
0,0,-0.000008,0.000853,-58.70324,up
0,0,-0.000014,0.000933,-70.954483,up
0,0,-0.00002,0.000987,-62.435996,up
0,0,-0.000024,0.00098,-13.881165,down
0,0,-0.000027,0.000973,-23.434279,down
0,0,-0.000029,0.000912,-1.754749,down
0,0,-0.000031,0.000839,-27.30026,down
0,0,-0.000031,0.000734,-9.263497,down
0,0,-0.000033,0.000766,-50.262692,down
0,0,-0.000036,0.000799,-56.332579,down
0,0,-0.000039,0.000733,-68.799451,down
0,0,-0.000043,0.000667,-47.248708,down
0,0,-0.000047,0.000644,-88.65041,down
0,0,-0.000052,0.000687,-79.169682,down
0,0,-0.000057,0.000717,-74.570797,down
0,0,-0.000063,0.000737,-61.471073,down
0,0,-0.000068,0.000805,-86.372482,down
0,-2,-0.000075,0.00088,-75.811671,down
0,-2,-0.000081,0.000934,-60.902875,down
0,0,-0.000086,0.000994,-66.303399,down
0,0,-0.000092,0.001057,-66.691644,down
-1,0,-0.000098,0.001134,-64.988333,down
0,0,-0.000104,0.00118,-51.932022,down
-2,0,-0.000109,0.001194,-66.399513,down
0,0,-0.000114,0.001183,-52.753642,down
0,0,-0.000119,0.001106,-52.80475,down
-1,0,-0.000125,0.001211,-94.495448,down
-2,0,-0.000133,0.001238,-86.900034,down
-1,0,-0.00014,0.001261,-67.571182,down
0,0,-0.000146,0.001236,-47.17411,down
0,0,-0.000151,0.001246,-58.528852,down
0,0,-0.000157,0.001246,-71.802048,down
0,0,-0.000163,0.001355,-84.139143,down
