@relation 2017-06-02

@attribute 'RSI EXTREME SCALED' numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute bbSizeBand numeric
@attribute bbPricePosition numeric
@attribute Prediction {up,down,no}

@data
0,0,0.000073,0.001418,-87.498165,up
0,0,0.000066,0.001547,-77.94812,up
0,0,0.000057,0.001581,-51.494498,down
0,0,0.000046,0.001593,-43.241335,up
0,0,0.000034,0.001657,-59.623647,up
0,0,0.000022,0.001688,-41.056485,up
0,0,0.00001,0.001775,-56.059952,up
0,0,-0.000003,0.001853,-50.138496,up
0,-2,-0.000013,0.001865,-22.358948,up
0,0,-0.000021,0.001874,-25.287554,up
0,0,-0.000027,0.001877,-16.246822,up
0,-2,-0.00003,0.001859,12.37494,down
0,0,-0.00003,0.001824,6.41318,up
0,0,-0.000029,0.001761,11.98135,up
0,0,-0.000026,0.001722,10.28172,down
0,0,-0.000023,0.001695,19.581654,no
0,0,-0.000019,0.001645,13.37763,down
0,0,-0.000015,0.001557,21.446971,no
0,0,-0.000011,0.00136,32.635592,down
0,0,-0.000008,0.001046,14.908617,up
0,0,-0.000005,0.001009,45.281523,down
0,0,-0.000003,0.000921,8.142229,up
0,0,0,0.000913,34.842647,down
0,0,0.000002,0.000911,31.501038,down
0,0,0.000005,0.000842,28.507866,down
0,0,0.000007,0.000817,27.661433,down
0,0,0.000009,0.000683,20.062226,down
0,0,0.000008,0.000613,-103.324564,up
0,0,0.000004,0.000673,-89.170668,up
0,0,0,0.000661,-57.916155,up
0,0,-0.000004,0.000678,-58.731394,up
0,0,-0.000007,0.000667,-12.289213,down
0,0,-0.000009,0.000666,-10.957716,down
0,0,-0.00001,0.00066,-9.239574,down
0,0,-0.000011,0.000657,-7.910633,down
0,0,-0.000012,0.000641,-11.552985,down
0,0,-0.000012,0.000641,-24.631188,up
0,0,-0.000013,0.000631,-21.861429,down
0,0,-0.000014,0.000609,-22.021282,down
0,0,-0.000015,0.000611,-14.738758,up
0,0,-0.000016,0.000578,-11.764424,up
0,0,-0.000016,0.000579,-10.883625,up
0,0,-0.000017,0.000557,-28.367345,up
0,0,-0.000018,0.000535,-39.072673,up
0,2,-0.000019,0.000492,9.765462,up
0,0,-0.000019,0.000433,10.852196,up
0,0,-0.000017,0.000491,113.729623,up
0,0,-0.000013,0.000534,99.256332,up
0,1,-0.000007,0.000583,99.166294,up
0,0,-0.000002,0.000612,66.04782,up
0,0,0.000005,0.000664,81.292672,up
0,0,0.000011,0.00073,72.587417,up
0,0,0.000018,0.000787,65.906755,no
0,0,0.000026,0.000907,87.296912,down
1,0,0.000034,0.000999,74.557105,down
0,0,0.000042,0.001052,58.934136,down
0,0,0.000049,0.00108,52.784001,up
0,0,0.000054,0.001065,27.428422,up
0,0,0.000058,0.001031,15.323025,up
0,0,0.000059,0.000993,1.207969,up
0,0,0.00006,0.00095,0.526471,up
0,0,0.000061,0.000945,53.957681,down
0,0,0.000062,0.000861,23.466569,up
0,0,0.000063,0.000719,20.85396,up
0,2,0.000063,0.000623,26.825146,up
0,2,0.000064,0.000495,55.533604,up
0,2,0.000066,0.00049,43.059543,up
0,0,0.000067,0.000486,46.469705,down
0,0,0.000068,0.000488,38.325728,down
0,0,0.000069,0.000484,64.72986,down
0,0,0.00007,0.000493,50.728101,down
0,0,0.000072,0.000511,59.459437,down
0,0,0.000072,0.0005,13.989512,down
0,0,0.000072,0.000497,6.844289,up
0,0,0.000071,0.000493,7.709084,up
0,0,0.00007,0.000494,15.373154,up
0,0,0.000068,0.000495,11.112387,up
0,0,0.000066,0.000481,8.724948,up
0,0,0.000063,0.000446,9.637556,up
0,0,0.000061,0.000362,10.22979,up
0,0,0.00006,0.000272,74.39504,down
0,0,0.000059,0.000301,77.529496,down
0,0,0.000058,0.000282,34.441638,up
0,0,0.000057,0.000255,31.741832,up
0,0,0.000056,0.000244,51.151062,down
0,0,0.000055,0.000248,31.889922,up
0,0,0.000054,0.000251,43.385769,up
0,0,0.000053,0.000252,24.987264,up
0,0,0.000052,0.000257,44.045711,down
0,0,0.000051,0.000255,21.176471,no
0,0,0.00005,0.000272,61.465742,down
0,0,0.000049,0.000272,39.382242,down
0,0,0.000048,0.000268,28.782533,up
0,0,0.000047,0.000252,18.250951,up
0,0,0.000045,0.000232,6.907726,up
0,0,0.000044,0.000216,-5.081021,up
0,0,0.000042,0.000194,19.56451,up
0,0,0.000041,0.000183,77.187885,up
0,0,0.00004,0.00019,105.762011,up
0,0,0.00004,0.000197,101.952005,up
0,0,0.000041,0.000237,96.667723,up
0,0,0.000042,0.000273,87.211087,up
0,0,0.000042,0.000283,58.019029,up
0,0,0.000043,0.000319,88.689571,up
0,0,0.000045,0.000351,75.569839,up
0,0,0.000046,0.000399,89.927572,up
0,0,0.000049,0.000476,98.314121,up
1,0,0.000053,0.000579,104.657905,no
0,0,0.000056,0.000614,64.503327,up
0,0,0.000059,0.00063,57.588676,up
0,0,0.000062,0.000665,61.911153,up
1,0,0.000066,0.000698,65.054932,up
1,0,0.000069,0.000717,60.533754,up
0,0,0.000072,0.000722,57.087481,up
0,0,0.000074,0.000701,47.243852,up
0,0,0.000077,0.000703,73.589646,down
0,0,0.00008,0.000682,59.954902,down
0,2,0.000082,0.000673,57.333232,up
0,2,0.000084,0.000662,49.583273,down
0,2,0.000086,0.000637,42.682752,no
0,0,0.000087,0.000608,39.128281,no
0,0,0.000087,0.000566,29.495508,up
0,0,0.000087,0.000507,52.442434,down
0,0,0.000087,0.000455,30.106709,down
0,0,0.000086,0.000383,28.231073,down
0,-2,0.000084,0.000329,25.868419,down
0,-2,0.000083,0.000306,34.979884,down
0,-2,0.000081,0.000305,-17.728757,down
0,-2,0.000078,0.00027,-23.703704,down
0,-2,0.000075,0.00023,-40.465871,down
0,-2,0.000071,0.00022,-70.40456,down
0,-2,0.000066,0.00028,-115.530232,down
-1,0,0.000058,0.000493,-144.346886,down
-2,0,0.000049,0.000634,-109.82099,down
0,0,0.00004,0.000717,-81.830725,down
-1,0,0.000031,0.000785,-76.809444,down
-1,0,0.00002,0.000892,-86.396724,down
-1,0,0.00001,0.000964,-72.497785,down
-2,0,-0.000001,0.001066,-80.359962,down
-2,0,-0.000013,0.001221,-90.055092,down
-2,0,-0.000028,0.001429,-95.540581,down
-2,0,-0.000043,0.001589,-82.438457,down
-2,0,-0.000058,0.001715,-78.190509,down
-2,0,-0.000074,0.001838,-74.527824,up
-2,0,-0.000089,0.001886,-59.690248,down
-2,0,-0.000103,0.001898,-53.843755,down
-2,0,-0.000115,0.0019,-58.222422,up
-2,0,-0.000127,0.001893,-53.725224,up
-1,0,-0.000137,0.001824,-41.450957,up
-1,0,-0.000145,0.001718,-37.082428,up
-1,0,-0.00015,0.001581,-33.020949,up
0,0,-0.000154,0.00144,-26.316153,up
0,0,-0.000157,0.001365,-23.222859,up
0,-2,-0.000157,0.001266,-12.713798,up
0,-2,-0.000156,0.001123,-17.453105,up
0,0,-0.000155,0.000955,-18.007263,up
0,0,-0.000151,0.000814,20.401913,down
0,0,-0.000146,0.00062,36.140787,down
0,0,-0.00014,0.000458,50.644641,down
0,0,-0.000134,0.000377,34.483244,no
0,0,-0.000128,0.000385,48.597049,up
0,0,-0.000122,0.000402,54.743986,up
0,0,-0.000115,0.000417,49.345741,down
0,0,-0.000109,0.000404,26.98824,down
0,0,-0.000103,0.000403,19.845558,up
0,0,-0.000096,0.000426,61.243523,down
0,0,-0.000089,0.000419,68.962406,down
0,0,-0.000083,0.000362,12.9822,up
0,0,-0.000079,0.00038,-81.254267,up
0,0,-0.000074,0.000369,36.055576,down
0,0,-0.00007,0.000349,6.009359,down
0,0,-0.000066,0.000341,-24.362421,down
0,0,-0.000062,0.000329,13.995734,down
0,0,-0.000059,0.000334,-39.166693,up
0,0,-0.000056,0.000323,-23.549623,down
0,0,-0.000055,0.000359,-97.219105,up
0,0,-0.000053,0.000372,-52.12399,up
0,0,-0.000052,0.000374,-37.450026,up
0,0,-0.000051,0.000368,6.798632,down
0,0,-0.000049,0.00037,-19.19138,down
0,0,-0.000047,0.000372,-27.385634,down
0,0,-0.000045,0.00037,-24.597402,down
0,0,-0.000044,0.000363,-11.561214,down
0,0,-0.000043,0.000392,-67.535105,no
0,0,-0.000042,0.000404,-42.873989,down
0,-2,-0.000042,0.000376,-19.957911,down
0,-2,-0.000041,0.000331,-45.054652,down
0,0,-0.000041,0.000334,-51.486853,down
0,0,-0.000041,0.000334,-57.473697,down
0,0,-0.000043,0.000449,-130.82658,down
0,0,-0.000047,0.00062,-125.070176,down
0,0,-0.000053,0.000747,-99.949882,down
0,0,-0.000059,0.000838,-89.387447,down
0,0,-0.000065,0.000889,-63.779618,down
0,0,-0.000071,0.000922,-58.67559,down
-1,0,-0.000077,0.001032,-78.805166,down
-2,0,-0.000085,0.00121,-94.077703,down
-2,0,-0.000095,0.001399,-92.150949,down
-2,0,-0.000106,0.001532,-82.783921,down
-2,0,-0.000117,0.001626,-70.91433,down
-2,0,-0.000128,0.001717,-69.490733,up
-2,0,-0.000139,0.001784,-65.527289,up
-2,0,-0.00015,0.001828,-64.394682,up
-2,0,-0.000159,0.001864,-55.751394,down
-1,0,-0.000167,0.001814,-36.98433,down
0,0,-0.000171,0.001699,-21.77554,down
0,0,-0.000173,0.001579,-22.232033,up
0,0,-0.000175,0.001453,-34.555216,up
0,0,-0.000177,0.001356,-64.156867,up
0,0,-0.000178,0.001261,-25.703764,up
0,0,-0.000177,0.001184,-3.547779,up
0,0,-0.000174,0.001097,1.641476,up
0,0,-0.000169,0.001007,1.688583,up
0,0,-0.000163,0.000872,37.729736,up
0,0,-0.000154,0.000751,73.26011,up
0,0,-0.000144,0.000703,65.431141,up
0,0,-0.000135,0.000714,47.088668,down
0,0,-0.000124,0.000798,78.174254,down
0,0,-0.000113,0.000865,67.99392,up
0,0,-0.000101,0.000919,60.182734,up
0,0,-0.00009,0.000941,48.258974,up
0,0,-0.000081,0.000912,3.400401,up
0,0,-0.000072,0.000889,47.253692,up
0,0,-0.000062,0.00091,72.074858,up
0,0,-0.000051,0.001014,84.096824,up
0,0,-0.000038,0.001127,77.811402,up
0,0,-0.000025,0.001245,77.921701,up
0,0,-0.000013,0.001257,54.253144,up
0,0,0,0.001145,63.143051,up
0,0,0.000011,0.001122,59.448956,up
0,0,0.000022,0.001114,50.734023,up
0,0,0.000032,0.001114,58.895105,up
0,-2,0.000042,0.001088,58.995368,down
0,-2,0.000051,0.001099,56.404439,no
0,-2,0.000058,0.001094,34.546489,up
0,0,0.000064,0.001061,29.411067,up
0,0,0.00007,0.001006,42.841191,down
0,0,0.000074,0.000982,27.701792,down
0,0,0.000077,0.000963,39.96631,down
0,0,0.000081,0.00093,36.358276,down
0,0,0.000083,0.000853,18.16667,down
0,0,0.000083,0.000571,-3.850328,down
0,0,0.000081,0.000467,-93.63405,up
0,0,0.000077,0.000422,-62.9994,down
