@relation 2017-06-02

@attribute 'RSI EXTREME SCALED' numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute bbSizeBand numeric
@attribute bbPricePosition numeric
@attribute Prediction {up,down,no}

@data
0,0,0.000005,0.000257,1.167141,down
0,0,0,0.000231,-3.031503,down
0,0,-0.000005,0.000234,-53.836814,down
0,0,-0.000012,0.000232,-28.880719,up
0,-2,-0.000022,0.000279,-102.717226,up
0,0,-0.000034,0.000275,-14.533448,down
0,0,-0.000046,0.000245,-11.016394,down
0,0,-0.000055,0.000258,-80.598363,down
0,-2,-0.000063,0.00032,-104.103809,down
0,-2,-0.00007,0.000396,-103.347846,down
0,-2,-0.000079,0.000509,-109.702115,down
0,-2,-0.000088,0.000592,-89.338386,up
0,-2,-0.000098,0.000667,-80.651875,up
0,0,-0.000107,0.000708,-60.632257,up
0,0,-0.000115,0.000748,-63.231635,up
0,0,-0.000122,0.000773,-54.100118,up
0,0,-0.000128,0.000802,-68.361282,up
0,0,-0.000132,0.000833,-56.40282,up
0,0,-0.000134,0.000831,-59.828788,up
0,0,-0.000133,0.000817,-52.402053,up
0,0,-0.000129,0.00078,-27.175021,down
0,0,-0.000122,0.000732,-26.629537,up
0,0,-0.000115,0.0007,-28.85052,up
0,0,-0.000109,0.000649,-37.287073,up
0,0,-0.000101,0.000633,-30.814157,up
0,0,-0.000094,0.000556,-45.1817,up
0,0,-0.000084,0.000433,-38.990556,up
0,0,-0.000073,0.000368,-68.157531,down
0,0,-0.00006,0.000327,-67.33467,down
0,0,-0.000047,0.000303,-70.197797,no
0,0,-0.000036,0.000305,-51.46331,up
0,0,-0.000025,0.000291,-9.284506,down
0,0,-0.000016,0.000294,51.726419,down
0,0,-0.000008,0.000294,72.144743,down
0,0,0,0.000285,12.994961,down
0,0,0.000007,0.000272,22.757083,down
0,0,0.000011,0.000276,27.918211,up
0,0,0.000011,0.000277,19.824647,up
0,0,0.00001,0.000276,17.731205,down
0,1,0.000007,0.000333,98.696607,up
0,2,0.000006,0.000375,84.845263,down
0,1,0.000006,0.000411,74.374664,down
0,0,0.000006,0.000444,65.771771,down
0,1,0.000005,0.00049,75.264012,down
0,0,0.000003,0.000524,62.649748,up
0,0,0,0.000537,52.704778,up
0,0,-0.000005,0.000597,81.74881,up
0,0,-0.000009,0.000608,64.104777,up
0,0,-0.000014,0.000598,52.514162,up
0,0,-0.000017,0.000572,51.790533,up
0,0,-0.000019,0.000548,57.821233,down
0,0,-0.000019,0.000517,25.517074,down
0,0,-0.000017,0.000508,15.356979,down
0,0,-0.000016,0.000502,-5.582166,up
0,0,-0.000015,0.000467,-17.33364,down
0,0,-0.000014,0.000436,-30.044074,up
0,0,-0.000014,0.000398,-6.53017,down
0,0,-0.000014,0.000346,-12.138272,down
0,0,-0.000013,0.00028,-27.470452,down
0,0,-0.000013,0.000306,74.20966,down
0,1,-0.000012,0.000317,54.55249,down
0,0,-0.000012,0.000311,-3.85595,down
0,0,-0.000014,0.000305,-5.57996,down
0,0,-0.000016,0.000305,-5.57996,down
0,0,-0.00002,0.000304,0.329031,down
0,0,-0.000026,0.000349,-87.59857,down
0,-2,-0.000031,0.000378,-84.322295,down
0,-2,-0.000035,0.000419,-84.060076,down
0,0,-0.00004,0.000418,-32.813195,down
0,0,-0.000045,0.000414,-38.380865,up
0,0,-0.000052,0.000399,-44.082733,up
0,0,-0.000059,0.000399,-30.815674,up
0,0,-0.000064,0.000398,-18.615248,up
0,0,-0.000069,0.000421,-57.264408,up
0,0,-0.000071,0.000421,8.547236,up
0,0,-0.000071,0.000422,-19.655296,up
0,0,-0.000069,0.000422,-9.013829,up
0,0,-0.000066,0.00042,-3.332153,up
0,0,-0.00006,0.00042,-11.65944,up
0,0,-0.000052,0.000364,-18.112808,down
0,0,-0.000042,0.000306,-27.097752,up
0,0,-0.000033,0.000316,-75.894664,up
0,-2,-0.000023,0.000325,-78.519637,down
0,-2,-0.000014,0.000353,-97.434397,up
0,-2,-0.000006,0.000394,-108.021324,up
0,-2,0.000003,0.000457,-88.33899,up
1,-2,0.000012,0.000557,-99.605664,down
0,0,0.000019,0.00059,-57.476722,up
0,0,0.000025,0.000594,-36.706111,up
0,0,0.000031,0.00059,-17.638523,up
0,0,0.000036,0.000587,-15.677896,up
0,0,0.000041,0.000584,-26.390415,up
0,0,0.000046,0.000596,-54.367467,up
0,0,0.000051,0.000632,-59.972502,up
0,0,0.000055,0.000635,-65.4976,up
0,0,0.000063,0.000619,-33.60526,down
0,0,0.000071,0.000584,-27.233504,down
0,0,0.000081,0.000539,-38.020458,down
0,0,0.000089,0.000479,-12.312559,down
0,0,0.000096,0.000414,-3.864689,down
0,0,0.0001,0.000344,-9.603874,down
0,0,0.000102,0.000331,57.319733,up
0,0,0.000101,0.000309,-5.825426,down
0,0,0.000099,0.000303,2.30697,down
0,0,0.000097,0.000315,-46.395988,down
0,0,0.000094,0.000322,-37.255225,down
0,0,0.00009,0.000313,-39.277134,down
0,0,0.000085,0.00032,-36.25,up
0,0,0.000079,0.000312,-8.962582,up
0,0,0.000073,0.00029,-37.981877,up
0,0,0.000067,0.00026,-42.765518,no
0,0,0.000062,0.000248,-54.023036,up
0,0,0.000057,0.000253,-35.147746,up
0,0,0.000054,0.00025,2.798461,no
0,0,0.000053,0.000234,-0.426911,down
0,0,0.00005,0.000235,-16.170213,up
0,-2,0.000049,0.00029,-103.356144,down
0,0,0.000049,0.000306,-56.145029,down
0,-2,0.00005,0.000329,-71.195693,down
0,0,0.000049,0.000345,-67.826087,down
0,-2,0.000047,0.000356,-55.373628,down
0,0,0.000043,0.000326,-81.029643,up
0,0,0.000037,0.000314,-28.658206,up
0,0,0.000029,0.000293,-25.579436,up
0,0,0.00002,0.000309,-58.901527,up
0,0,0.000012,0.000326,-63.190481,up
0,0,0.000005,0.000345,-66.066145,up
0,0,-0.000001,0.000351,-49.022948,up
0,0,-0.000005,0.000337,-45.097703,down
0,0,-0.000008,0.000361,-74.776753,down
0,0,-0.00001,0.000351,10.248137,down
0,0,-0.000011,0.000346,11.571137,down
0,0,-0.000012,0.000341,-36.666707,down
0,0,-0.000013,0.000332,-71.767856,down
0,0,-0.000015,0.000308,-68.59522,down
0,0,-0.000018,0.00028,-66.375678,down
0,0,-0.000022,0.000281,-14.969006,down
0,0,-0.000026,0.00027,-32.913618,down
0,0,-0.000031,0.000266,12.780239,up
0,0,-0.000038,0.000263,6.468568,up
0,0,-0.000046,0.000262,-35.451087,up
0,0,-0.000055,0.000269,-39.719974,up
0,0,-0.000063,0.000251,-6.782726,up
0,0,-0.000069,0.000228,-3.075067,up
0,0,-0.000074,0.000236,55.11989,up
0,0,-0.000076,0.00024,-34.984819,up
0,0,-0.000075,0.000241,-17.405822,up
0,0,-0.000073,0.000241,15.748125,up
0,0,-0.000069,0.000249,-45.774274,down
0,0,-0.000063,0.000255,-51.834503,down
0,0,-0.000057,0.000232,-41.446358,down
0,0,-0.000049,0.000208,-65.823748,down
0,-2,-0.000042,0.000221,-65.939258,down
0,-2,-0.000037,0.000233,-60.980161,down
0,0,-0.000032,0.000243,-56.705679,down
0,0,-0.000029,0.00026,-66.031859,down
0,-2,-0.000026,0.000346,-117.434758,down
0,0,-0.000025,0.000345,-6.384863,down
0,0,-0.000025,0.000329,7.892388,up
0,0,-0.000027,0.000315,4.437741,up
0,0,-0.000031,0.000315,-13.022847,up
0,0,-0.000034,0.000316,-17.739827,down
0,0,-0.000037,0.000309,15.544648,down
0,0,-0.00004,0.000301,17.252057,down
0,0,-0.000041,0.00026,24.191659,down
0,0,-0.000042,0.00026,24.191659,down
0,0,-0.000044,0.000256,25.355297,down
0,0,-0.000046,0.000238,-34.041202,down
0,0,-0.000049,0.000237,0.42213,down
0,0,-0.000051,0.000239,-23.043283,down
0,0,-0.000053,0.000237,-5.055153,down
0,0,-0.000056,0.000243,-36.275169,down
0,0,-0.000059,0.000268,-74.360056,down
0,0,-0.000062,0.000281,-54.044978,down
0,0,-0.000069,0.000286,-30.806162,up
0,0,-0.00008,0.000325,-84.812742,up
0,-2,-0.000091,0.000337,-99.020028,no
0,-2,-0.000102,0.000384,-86.416148,down
0,0,-0.000112,0.000375,-1.067521,up
0,0,-0.000121,0.000374,-34.759483,up
0,0,-0.000131,0.00039,-54.840255,up
0,0,-0.000138,0.000422,-69.630916,up
0,0,-0.000144,0.000426,-54.16677,up
0,0,-0.000147,0.000413,-31.981797,up
0,0,-0.000149,0.000435,78.935354,up
0,0,-0.000148,0.000413,12.842354,down
0,0,-0.000144,0.000409,57.21374,down
0,0,-0.000139,0.000411,27.522629,down
0,0,-0.000132,0.000408,37.738184,down
0,0,-0.000124,0.000406,23.371896,down
0,0,-0.000116,0.000415,51.102886,down
0,0,-0.000108,0.000456,74.115857,down
0,0,-0.000102,0.000475,50.907898,up
0,0,-0.000098,0.000478,19.87514,up
0,0,-0.000095,0.000512,62.337423,up
0,0,-0.000093,0.000523,52.414399,down
0,0,-0.000091,0.000504,29.969005,no
0,0,-0.000089,0.000481,42.162054,down
0,0,-0.000085,0.000496,42.350848,down
0,0,-0.000081,0.000518,62.355822,down
0,0,-0.000078,0.00052,63.214462,down
0,0,-0.000075,0.000465,41.911867,down
0,0,-0.000073,0.000406,49.540046,down
0,0,-0.000072,0.00036,63.394507,up
0,0,-0.000071,0.000401,78.249756,up
0,0,-0.000069,0.00041,74.135317,up
0,0,-0.000068,0.000432,61.106855,up
0,0,-0.000067,0.000432,59.459724,up
0,0,-0.000064,0.000446,69.113215,down
0,0,-0.000061,0.000403,-6.943809,up
0,0,-0.000056,0.000382,-4.979032,down
0,0,-0.000053,0.000377,-1.059998,down
0,0,-0.000051,0.000363,-14.030978,down
0,0,-0.000048,0.000311,-14.78687,up
0,0,-0.000044,0.000306,-15.993207,down
0,0,-0.000041,0.000298,-11.411259,up
0,0,-0.000039,0.000266,4.885052,up
0,0,-0.000039,0.00025,-21.18835,up
0,0,-0.000038,0.000234,-0.426911,up
0,0,-0.000036,0.000259,-74.259244,up
0,-2,-0.000034,0.000309,-95.600635,up
0,-2,-0.000032,0.000358,-89.680637,up
0,-2,-0.000029,0.000403,-80.337438,up
0,-2,-0.000025,0.000437,-69.532274,up
0,0,-0.00002,0.000452,-61.753667,up
0,0,-0.000015,0.000442,-40.049887,down
0,0,-0.000009,0.000427,-32.107232,down
0,0,-0.000003,0.000399,-24.340015,down
0,0,0.000003,0.000346,-48.527762,down
0,0,0.000008,0.000367,-62.9592,down
0,0,0.000012,0.00036,-11.661044,down
0,0,0.000013,0.00035,17.976627,down
0,0,0.00001,0.000343,2.62146,down
0,0,-0.000005,0.000342,-39.819567,up
-2,0,-0.000028,0.000332,26.490887,up
-2,0,-0.000056,0.000314,5.407907,up
-2,0,-0.000086,0.00028,23.902861,down
-1,0,-0.000115,0.000285,79.27385,down
0,0,-0.000141,0.000247,38.474232,down
-1,2,-0.000166,0.000305,105.460463,up
-1,0,-0.000188,0.000319,53.327183,up
-2,0,-0.000212,0.000316,25.329903,up
0,0,-0.000231,0.000313,-38.628635,up
0,0,-0.000246,0.000309,34.341273,up
0,0,-0.000255,0.000305,42.929193,up
0,0,-0.00026,0.000314,50.285586,up
0,0,-0.000262,0.000312,16.344076,up
0,0,-0.000261,0.000316,-33.909567,up
0,0,-0.000254,0.000312,-47.373646,down
0,-2,-0.000245,0.000354,-107.711922,down
0,-2,-0.000234,0.000394,-78.206854,down
0,-2,-0.000221,0.00044,-78.81912,down
0,0,-0.000206,0.000449,-35.156714,down
0,0,-0.000193,0.000456,-42.734113,up
0,0,-0.000182,0.000511,-80.077827,up
0,0,-0.00017,0.000557,-69.52758,up
0,-2,-0.000159,0.000667,-97.128394,up
0,-2,-0.000147,0.000777,-96.924061,up
0,-2,-0.000134,0.000894,-89.442719,down
0,-2,-0.00012,0.001036,-100.309543,down
0,-2,-0.000105,0.001147,-84.145001,up
0,-2,-0.000092,0.00126,-80.072588,up
0,0,-0.000081,0.001378,-73.972399,up
0,0,-0.00007,0.001465,-73.017983,up
0,0,-0.000061,0.001593,-82.946224,up
0,0,-0.000052,0.001616,-63.10318,up
0,0,-0.000042,0.001572,-39.427713,up
0,0,-0.000032,0.001521,-28.533341,up
0,0,-0.000023,0.00145,-18.963403,up
0,0,-0.000015,0.001406,-17.564313,up
0,0,-0.000007,0.001336,6.664061,up
0,0,0,0.001269,14.108847,up
0,0,0.000007,0.001159,28.644648,down
0,0,0.000015,0.001067,50.035083,down
0,0,0.00002,0.0011,78.84853,no
0,0,0.000026,0.00107,53.760186,down
0,0,0.000033,0.001078,45.654495,down
0,0,0.000037,0.001171,71.931008,up
0,0,0.000041,0.001205,43.301613,up
0,0,0.000044,0.00123,37.977914,up
0,0,0.000045,0.001239,28.725562,up
0,0,0.000047,0.001265,46.248762,up
0,0,0.00005,0.001245,27.302852,down
0,0,0.000054,0.00123,49.683521,down
0,0,0.000058,0.001094,51.368132,down
0,0,0.000061,0.001071,87.710338,down
0,1,0.000065,0.001114,86.678614,up
0,0,0.000068,0.001092,61.35117,up
0,1,0.000069,0.001101,71.657167,up
0,0,0.000069,0.001051,60.023993,up
0,0,0.000067,0.001001,28.281358,up
0,0,0.000067,0.000946,25.161248,up
0,0,0.000069,0.000894,-7.492848,down
0,0,0.000072,0.000866,-0.808119,down
0,0,0.000075,0.000939,67.724755,down
0,0,0.000079,0.000952,51.34955,down
0,0,0.000082,0.00094,48.638528,down
0,0,0.000084,0.000972,49.47029,down
0,0,0.000085,0.00097,54.136119,down
0,0,0.000084,0.000924,36.272563,down
0,0,0.000082,0.000821,-12.062244,down
0,0,0.000078,0.000769,-3.119515,down
0,0,0.000074,0.000659,-32.024192,down
0,0,0.000069,0.000622,-26.348994,up
0,0,0.000064,0.000605,-47.74618,up
0,0,0.000057,0.000625,-46.210804,up
0,0,0.00005,0.000645,-55.523899,up
0,0,0.000042,0.000649,-19.890486,up
0,0,0.000037,0.000645,-34.713041,up
0,0,0.000034,0.000642,24.616237,down
0,0,0.000033,0.000696,-69.21295,up
0,-2,0.000035,0.000859,-102.471162,down
0,-2,0.000036,0.000994,-93.404414,up
0,-2,0.00004,0.001042,-56.40823,no
0,0,0.000043,0.001063,-57.399849,up
0,0,0.000046,0.001158,-79.303861,down
0,0,0.000049,0.001243,-77.131593,up
0,0,0.000051,0.001283,-68.350647,up
0,0,0.000054,0.00123,-47.244068,down
0,0,0.000056,0.001181,-44.956132,up
0,0,0.000058,0.001183,-40.668354,up
0,0,0.000059,0.001146,-30.543233,down
0,0,0.000061,0.00112,-25.709675,up
0,0,0.000062,0.001064,-3.195589,up
0,0,0.000063,0.001131,75.096913,up
0,0,0.000064,0.001152,54.000767,up
0,0,0.000063,0.001174,47.08611,up
0,0,0.000063,0.00115,36.699468,up
0,0,0.000064,0.001155,45.009416,up
0,0,0.000067,0.00106,29.160434,up
0,0,0.000072,0.001072,33.775403,up
0,0,0.000079,0.00108,29.084985,up
0,0,0.000087,0.001077,27.942707,down
0,0,0.000095,0.001077,1.671276,up
0,0,0.000102,0.001082,-20.056783,up
0,0,0.000109,0.001058,-29.004646,up
0,0,0.000116,0.001003,-20.844121,up
0,0,0.000118,0.00094,-24.563785,up
0,0,0.000121,0.000904,0.553012,up
0,0,0.000127,0.00087,28.278197,down
0,0,0.000136,0.000881,66.622061,down
0,0,0.000142,0.000834,15.947096,down
0,0,0.000146,0.000778,7.967895,down
0,0,0.000148,0.000754,0.530792,down
0,0,0.00015,0.000689,15.536337,down
0,0,0.00015,0.000703,60.209711,down
0,0,0.000147,0.000689,21.772884,down
0,0,0.000143,0.000772,80.976571,down
